TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE
mabi_log_20200818,dbo,character,logtime,1,datetime
mabi_log_20200818,dbo,character,channel,2,nvarchar
mabi_log_20200818,dbo,character,logtype,3,nvarchar
mabi_log_20200818,dbo,character,logdetail,4,nvarchar
mabi_log_20200818,dbo,chat,logtime,1,datetime
mabi_log_20200818,dbo,chat,channel,2,nvarchar
mabi_log_20200818,dbo,chat,logtype,3,nvarchar
mabi_log_20200818,dbo,chat,logdetail,4,nvarchar
mabi_log_20200818,dbo,default,logtime,1,datetime
mabi_log_20200818,dbo,default,channel,2,nvarchar
mabi_log_20200818,dbo,default,logtype,3,nvarchar
mabi_log_20200818,dbo,default,logdetail,4,nvarchar
mabi_log_20200818,dbo,item,logtime,1,datetime
mabi_log_20200818,dbo,item,channel,2,nvarchar
mabi_log_20200818,dbo,item,logtype,3,nvarchar
mabi_log_20200818,dbo,item,logdetail,4,nvarchar
mabi_log_20200818,dbo,gamelog,logtime,1,datetime
mabi_log_20200818,dbo,gamelog,channel,2,nvarchar
mabi_log_20200818,dbo,gamelog,logtype,3,nvarchar
mabi_log_20200818,dbo,gamelog,logdetail,4,nvarchar